answer,clue
MIDRIB,'the vein in the center of a leaf'
CORPORATISM,'control of a state or organization by large interest groups
TOUCAN,'brilliantly colored arboreal fruit-eating bird of tropical America having a very large thin-walled beak'
PHAIUS,'an orchid of the genus Phaius having large plicate leaves and racemes of showy flowers'
TINWARE,'articles of commerce made of tin plate'
NONSENSE,'a message that seems to convey no meaning'
SETUP,'equipment designed to serve a specific function'
COACHING,'the job of a professional coach'
MARGIN,'the boundary line or the area immediately inside the boundary'
ALLOPATRY,'the occurrence of related organisms in separate geographical areas with no overlap'
GREENLING,'food fish of the northern Pacific'
CHINOS,'(plural) trousers made with chino cloth'
MAJOR,'a commissioned military officer in the United States Army or Air Force or Marines
ARAGONITE,'a mineral form of crystalline calcium carbonate
POLYPROPENE,'a polymer of propylene used as a thermoplastic molding material'
INDIGOTIN,'a blue dye obtained from plants or made synthetically'
NEEDLEFISH,'fish with long tubular snout and slim body covered with bony plates'
CENSUS,'a periodic count of the population'
AERIALIST,'an acrobat who performs in the air (as on a rope or trapeze)'
LOGWOOD,'very hard brown to brownish-red heartwood of a logwood tree
PROTEOMICS,'the branch of genetics that studies the full set of proteins encoded by a genome'
GERMICIDE,'an agent (as heat or radiation or a chemical) that destroys microorganisms that might carry disease'
COOTER,'large river turtle of the southern United States and northern Mexico'
SILVERBUSH,'deciduous unarmed North American shrub with silvery leaves and fruits'
TINEOID,'small dull-colored moth with chewing mouthparts'
UNLIKENESS,'dissimilarity evidenced by an absence of likeness'
DISTANCE,'the property created by the space between two objects or points'
PRIMARY,'a preliminary election where delegates or nominees are chosen'
SMILING,'a facial expression characterized by turning up the corners of the mouth
SIDEWINDER,'small pale-colored desert rattlesnake of southwestern United States
LEASE,'property that is leased or rented out or let'
MINIATURIST,'someone who paints tiny pictures in great detail'
ACUTE,'a mark placed above a vowel to indicate pronunciation'
CRAPULENCE,'the act of drinking alcoholic beverages to excess
GLUTAMATE,'a salt or ester of glutamic acid'
ZIGADENE,'any of various plants of the genus Zigadenus having glaucous leaves and terminal racemes of mostly white flowers
EYEBROW,'the arch of hair above each eye'
INCISION,'a depression scratched or carved into a surface'
NASTINESS,'the quality of being highly unpleasant
QUITTANCE,'payment of a debt or obligation'
FINANCE,'the commercial activity of providing funds and capital'
ZOYSIA,'any of several creeping grasses of the genus Zoysia'
ALKY,'a person who drinks alcohol to excess habitually'
SUBJECTIVIST,'a person who subscribes to subjectivism'
CREATURE,'a living organism characterized by voluntary movement'
ALLEVIANT,'remedy that alleviates pain without curing'
FIGURE,'a diagram or picture illustrating textual material
FUEL,'a substance that can be consumed to produce energy
REWARD,'a recompense for worthy acts or retribution for wrongdoing
RESPECT,'(usually preceded by `in\') a detail or point
DISPERSAL,'the act of dispersing or diffusing something
CARCINOGEN,'any substance that produces cancer'
CODPIECE,'(15th-16th century) a flap for the crotch of men\'s tight-fitting breeches'
PLOCE,'(rhetoric) repetition to gain special emphasis or extend meaning'
BOUTIQUE,'a shop that sells women\'s clothes and jewelry'
ANALOGUE,'something having the property of being analogous to something else'
ABNEGATION,'the denial and rejection of a doctrine or belief
SINUSITIS,'inflammation of one of the paranasal sinuses'
IMPUISSANCE,'powerlessness revealed by an inability to act
ECLIPSIS,'omission or suppression of parts of words or sentences'
SIMNEL,'a crisp bread of fine white flour'
GADOID,'a soft-finned fish of the family Gadidae'
PARTITIONIST,'an advocate of partitioning a country'
SAPROLITE,'a deposit of clay and disintegrating rock that is found in its original place'
INTEGRAL,'the result of a mathematical integration
THIOURACIL,'depresses the function of the thyroid gland'
PROBOSCIS,'a long flexible snout as of an elephant'
FERRET,'musteline mammal of prairie regions of United States
INVOLUTION,'the action of enfolding something'
SENSUALIST,'a person who enjoys sensuality'
HAPPINESS,'state of well-being characterized by emotions ranging from contentment to intense joy'
STAIN,'a soiled or discolored appearance
BELIEVER,'a person who has religious faith'
TUMOUR,'an abnormal new mass of tissue that serves no purpose'
GENTEELNESS,'elegance by virtue of fineness of manner and expression'
BECHAMEL,'milk thickened with a butter and flour roux'
SERMONIZER,'someone whose occupation is preaching the gospel'
DECAF,'coffee with the caffeine removed'
ACROPHOBIA,'a morbid fear of great heights'
ELITIST,'someone who believes in rule by an elite group'
APEX,'the highest point (of something)
VELOURS,'heavy fabric that resembles velvet'
ZLOTY,'the basic unit of money in Poland'
HERBIVORE,'any animal that feeds chiefly on grass and other plants
RHINOPLASTY,'cosmetic surgery to improve the appearance of your nose'
CHURIDARS,'tight trousers worn by people from the Indian subcontinent (typically with a kameez or kurta)'
NOSEBAND,'a strap that is the part of a bridle that goes over the animal\'s nose'
DERRIS,'any of various usually woody vines of the genus Derris of tropical Asia whose roots yield the insecticide rotenone
ACQUIREMENT,'an ability that has been acquired by training'
PATHOLOGIST,'a doctor who specializes in medical diagnosis'
ADENOID,'a collection of lymphatic tissue in the throat behind the uvula (on the posterior wall and roof of the nasopharynx)
LINEN,'a fabric woven with fibers from the flax plant'
TIYIN,'100 tiyin equal 1 som in Uzbekistan'
PHALSA,'drought-resistant Asiatic treelike shrub bearing pleasantly acid small red edible fruits commonly used in sherbets'
STOPGAP,'something contrived to meet an urgent need or emergency'
RHINOSCOPE,'medical instrument consisting of a mirror mounted at an angle on a rod
INDEBTEDNESS,'an obligation to pay money to another party'
IMMOBILIZING,'the act of limiting movement or making incapable of movement
CREDIBILITY,'the quality of being believable or trustworthy'
REGALIA,'paraphernalia indicative of royalty (or other high office)'
TRAUMATOLOGY,'the branch of medicine that deals with the surgical repair of injuries and wounds arising from accidents'
OPOSSUM,'small furry Australian arboreal marsupials having long usually prehensile tails'
FRAMER,'someone who writes a new law or plan
BOURGUIGNON,'reduced red wine with onions and parsley and thyme and butter'
MESSINESS,'the trait of being untidy and messy'
BEHAVIOR,'manner of acting or controlling yourself'
CHITIN,'a tough semitransparent horny substance
THYMUS,'a ductless glandular organ at the base of the neck that produces lymphocytes and aids in producing immunity
HERBAGE,'succulent herbaceous vegetation of pasture land'
HOMINID,'a primate of the family Hominidae'
COAL,'fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous period'
RIFLEMAN,'someone skilled in the use of a rifle'
LARBOARD,'the left side of a ship or aircraft to someone who is aboard and facing the bow or nose'
LARVICIDE,'a chemical used to kill larval pests'
BARONAGE,'the peers of a kingdom considered as a group'
WEBWORM,'several gregarious moth larvae that spin webs over foliage on which they feed'
GOOF,'a man who is a stupid incompetent fool'
CUTLASS,'a short heavy curved sword with one edge
MANDARIN,'a high public official of imperial China'
SEALING,'the act of treating something to make it repel water'
MAMMILLA,'the small projection of a mammary gland'
COCOA,'a beverage made from cocoa powder and milk and sugar
EVALUATION,'act of ascertaining or fixing the value or worth of'
APHONIA,'a disorder of the vocal organs that results in the loss of voice'
GRADUATE,'a person who has received a degree from a school (high school or college or university)'
PACA,'large burrowing rodent of South America and Central America
OBSERVATION,'the act of making and recording a measurement'
SNAKEFLY,'predatory insect of western North America having a long necklike prothorax'
TARNISH,'discoloration of metal surface caused by oxidation'
POLYPEPTIDE,'a peptide containing 10 to more than 100 amino acids'
CARESSING,'affectionate play (or foreplay without contact with the genital organs)'
REMISE,'an expensive or high-class hackney'
RODEO,'an exhibition of cowboy skills'
POLONY,'another name for Bologna sausage'
KATABOLISM,'breakdown in living organisms of more complex substances into simpler ones together with release of energy'
EUGLENA,'minute single-celled green freshwater organism having a single flagella
CALMING,'the act of appeasing (as by acceding to the demands of)'
NARCISM,'an exceptional interest in and admiration for yourself
BUNYAVIRUS,'an animal virus belonging to the family Bunyaviridae
ERETHISM,'an abnormally high degree of irritability or sensitivity to stimulation of an organ or body part'
IONOPHORESIS,'the motion of charged particles in a colloid under the influence of an electric field
TACTIC,'a plan for attaining a particular goal'
CHARWOMAN,'a human female employed to do housework
CYANOGEN,'a colorless toxic gas with a pungent almond odor
BEDDING,'coverings that are used on a bed'
HUFFINESS,'a passing state of anger and resentment'
COMEDY,'light and humorous drama with a happy ending'
